Distance,Speed,nGear,X,Y,Driver
1373.6716666666653,98.0,2,-333.3224034506388,-184.48419569813933,LEC
1377.690037813496,96.1,2,-285.0,-208.0,LEC
1382.0272222222209,94.0,2,-260.802066779949,-226.48469661524342,LEC
1387.4166298189782,91.3375008,2,-248.0,-255.0,LEC
1388.0938888888875,91.0,2,-245.2625653039027,-260.61146933711933,LEC
1391.390016348018,90.52857142857142,2,-230.0,-292.0,LEC
1395.0938888888875,90.0,2,-216.86646881640078,-324.36892686582604,LEC
1398.441978738561,91.5,2,-207.0,-361.0,LEC
1404.7743805985176,94.22727272727273,2,-190.0,-456.0,LEC
1406.7049999999986,95.0,2,-187.23914587157296,-475.36776599374326,LEC
1416.4827777777764,110.0,2,-185.03265438507287,-527.167087373092,LEC
1416.8860403183726,110.25999872,2,-185.0,-530.0,LEC
1422.8161111111099,114.0,2,-184.6925793109359,-585.4046164772326,LEC
1423.9454136203806,116.4749952,2,-185.0,-600.0,LEC
1431.61611111111,132.0,3,-189.71499606022596,-714.6965760036679,LEC
1432.0806967700566,132.72,3,-190.0,-720.0,LEC
1439.6161111111098,144.0,3,-193.80419235420916,-768.1977363401618,LEC
1444.3770899658837,148.4,3,-197.0,-795.0,LEC
1451.6716666666655,155.0,3,-204.60062218526235,-861.545857930526,LEC
1458.2462909138294,155.0,3,-213.0,-935.0,LEC
1458.5605555555546,155.0,4,-213.38760298053919,-938.3474105072778,LEC
1466.8470434651135,169.41666133333334,4,-223.0,-1021.0,LEC
